2025-08-28 12:22:55 [INFO] Initializing Ollama connection manager...
2025-08-28 12:22:55 [WARNING] HostHealthMonitor initialized with empty host list
2025-08-28 12:22:55 [INFO] Setting up connections...
2025-08-28 12:22:55 [INFO] Multi-GPU configuration: 4 instances
2025-08-28 12:22:55 [INFO] Initialized with 4 hosts
2025-08-28 12:22:55 [INFO] Waiting for Ollama services to start...
2025-08-28 12:22:55 [INFO] Checking host 1/4: http://127.0.0.1:39001
2025-08-28 12:22:55 [INFO] Host http://127.0.0.1:39001 is ready
2025-08-28 12:22:55 [INFO] Checking host 2/4: http://127.0.0.1:39002
2025-08-28 12:22:55 [INFO] Host http://127.0.0.1:39002 is ready
2025-08-28 12:22:55 [INFO] Checking host 3/4: http://127.0.0.1:39003
2025-08-28 12:22:55 [INFO] Host http://127.0.0.1:39003 is ready
2025-08-28 12:22:55 [INFO] Checking host 4/4: http://127.0.0.1:39004
2025-08-28 12:22:55 [INFO] Host http://127.0.0.1:39004 is ready
2025-08-28 12:28:06 [WARNING] Invalid JSON response for 0430A2523F3880
2025-08-28 12:28:18 [WARNING] Invalid JSON response for 043162523F3880
2025-08-28 12:29:00 [WARNING] Invalid JSON response for 043D3C523F3880
2025-08-28 12:29:02 [WARNING] Invalid JSON response for 043D31523F3880
2025-08-28 12:29:04 [WARNING] Invalid JSON response for 043D48523F3880
2025-08-28 12:29:32 [WARNING] Invalid JSON response for 043E5B523F3880
2025-08-28 12:29:42 [WARNING] Invalid JSON response for 043ED6523F3880
2025-08-28 12:29:49 [WARNING] Invalid JSON response for 043ED5523F3880
2025-08-28 12:29:54 [WARNING] Invalid JSON response for 043F53523F3880
2025-08-28 12:30:04 [WARNING] Invalid JSON response for 043F9B523F3880
2025-08-28 12:30:15 [WARNING] Invalid JSON response for 043FEE523F3880
2025-08-28 12:31:00 [WARNING] Invalid JSON response for 0441AE523F3880
2025-08-28 12:31:00 [WARNING] Invalid JSON response for 0441BA523F3880
2025-08-28 12:31:10 [WARNING] Invalid JSON response for 0441EA4A3F3880
2025-08-28 12:31:59 [WARNING] Invalid JSON response for 04439B523F3880
2025-08-28 12:32:16 [WARNING] Invalid JSON response for 04442D523F3880
2025-08-28 12:32:53 [WARNING] Invalid JSON response for 0445A8523F3880
2025-08-28 12:33:12 [WARNING] Invalid JSON response for 04466C523F3880
2025-08-28 12:34:40 [WARNING] Invalid JSON response for 0449B7523F3880
2025-08-28 12:34:45 [WARNING] Invalid JSON response for 0449DD523F3880
2025-08-28 12:35:16 [WARNING] Invalid JSON response for 044A9A523F3880
2025-08-28 12:35:23 [WARNING] Invalid JSON response for 044AFA523F3880
2025-08-28 12:36:32 [WARNING] Invalid JSON response for 044C53523F3880
2025-08-28 12:36:36 [WARNING] Invalid JSON response for 044C5E523F3880
2025-08-28 12:36:42 [WARNING] Invalid JSON response for 044C76523F3880
2025-08-28 12:37:08 [WARNING] Invalid JSON response for 044D38523F3880
2025-08-28 12:37:53 [WARNING] Invalid JSON response for 044E78523F3880
2025-08-28 12:38:08 [WARNING] Invalid JSON response for 044EB5523F3880
2025-08-28 12:38:44 [WARNING] Invalid JSON response for 044F68523F3880
2025-08-28 12:39:41 [WARNING] Invalid JSON response for 045097523F3880
2025-08-28 12:39:48 [WARNING] Invalid JSON response for 0450A4523F3880
2025-08-28 12:40:04 [WARNING] Invalid JSON response for 045106523F3884
2025-08-28 12:40:41 [WARNING] Invalid JSON response for 04520E523F3884
2025-08-28 12:41:06 [WARNING] Invalid JSON response for 0452AF523F3880
2025-08-28 12:41:16 [WARNING] Invalid JSON response for 0452F3523F3880
2025-08-28 12:41:44 [WARNING] Invalid JSON response for 0453E4523F3880
2025-08-28 12:41:46 [WARNING] Invalid JSON response for 0453D9523F3880
2025-08-28 12:41:58 [WARNING] Invalid JSON response for 04545A523F3880
2025-08-28 12:42:08 [WARNING] Invalid JSON response for 045505523F3884
2025-08-28 12:42:27 [WARNING] Invalid JSON response for 0455EE523F3880
2025-08-28 12:42:53 [WARNING] Invalid JSON response for 0456EF523F3880
2025-08-28 12:43:21 [WARNING] Invalid JSON response for 0457EA523F3880
2025-08-28 12:43:29 [WARNING] Invalid JSON response for 0457F6523F3880
2025-08-28 12:43:31 [WARNING] Invalid JSON response for 045830523F3880
2025-08-28 12:43:34 [WARNING] Invalid JSON response for 045819523F3884
2025-08-28 12:43:40 [WARNING] Invalid JSON response for 045831523F3880
2025-08-28 12:43:46 [WARNING] Invalid JSON response for 045861523F3880
2025-08-28 12:44:28 [WARNING] Invalid JSON response for 0459DE523F3880
2025-08-28 12:45:33 [WARNING] Invalid JSON response for 045C4B523F3880
2025-08-28 12:49:24 [WARNING] Invalid JSON response for 045FF8523F3880
2025-08-28 12:49:29 [WARNING] Invalid JSON response for 045FED523F3880
2025-08-28 12:49:48 [WARNING] Invalid JSON response for 046061523F3880
2025-08-28 12:49:52 [WARNING] Invalid JSON response for 0460C0523F3880
2025-08-28 12:50:12 [WARNING] Invalid JSON response for 046155523F3880
2025-08-28 12:50:43 [WARNING] Invalid JSON response for 04626A523F3880
2025-08-28 12:51:06 [WARNING] Invalid JSON response for 0462F6523F3880
2025-08-28 12:51:56 [WARNING] Invalid JSON response for 04639A523F3880
2025-08-28 12:52:01 [WARNING] Invalid JSON response for 0463A6523F3880
2025-08-28 12:52:12 [WARNING] Invalid JSON response for 0463EF523F3880
2025-08-28 12:52:44 [WARNING] Invalid JSON response for 04644F523F3880
2025-08-28 12:53:53 [WARNING] Invalid JSON response for 0465BD523F3880
2025-08-28 12:54:14 [WARNING] Invalid JSON response for 0465E6523F3880
2025-08-28 12:55:34 [WARNING] Invalid JSON response for 0466DB523F3880
2025-08-28 12:56:11 [WARNING] Invalid JSON response for 04674A523F3880
2025-08-28 12:56:14 [WARNING] Invalid JSON response for 046756523F3880
2025-08-28 12:56:22 [WARNING] Invalid JSON response for 04674E523F3880
2025-08-28 12:56:45 [WARNING] Invalid JSON response for 04678B523F3880
2025-08-28 12:56:45 [WARNING] Invalid JSON response for 0467AA523F3880
2025-08-28 12:57:48 [WARNING] Invalid JSON response for 046844523F3880
2025-08-28 12:59:36 [WARNING] Invalid JSON response for 046963523F3880
2025-08-28 13:00:52 [WARNING] Invalid JSON response for 046A3C523F3880
2025-08-28 13:01:20 [WARNING] Invalid JSON response for 046A90523F3880
2025-08-28 13:02:06 [WARNING] Invalid JSON response for 046B58523F3880
2025-08-28 13:03:01 [WARNING] Invalid JSON response for 046C30523F3880
2025-08-28 13:03:29 [WARNING] Invalid JSON response for 046C9D523F3880
2025-08-28 13:04:10 [WARNING] Invalid JSON response for 046D4B523F3880
2025-08-28 13:04:30 [WARNING] Invalid JSON response for 046DE8523F3880
2025-08-28 13:04:32 [WARNING] Invalid JSON response for 046DD4523F3880
2025-08-28 13:04:34 [WARNING] Invalid JSON response for 046DDF523F3880
2025-08-28 13:04:51 [WARNING] Invalid JSON response for 046E23523F3880
2025-08-28 13:04:58 [WARNING] Invalid JSON response for 046E24523F3880
2025-08-28 13:06:11 [WARNING] Invalid JSON response for 046F46523F3880
2025-08-28 13:06:12 [WARNING] Invalid JSON response for 046F3E523F3880
2025-08-28 13:06:14 [WARNING] Invalid JSON response for 046F3F523F3880
2025-08-28 13:06:18 [WARNING] Invalid JSON response for 046F4A523F3880
2025-08-28 13:07:02 [WARNING] Invalid JSON response for 046FCB523F3880
2025-08-28 13:07:03 [WARNING] Invalid JSON response for 046FBC523F3880
2025-08-28 13:07:24 [WARNING] Invalid JSON response for 047004523F3884
2025-08-28 13:07:42 [WARNING] Invalid JSON response for 04701F523F3884
2025-08-28 13:08:45 [WARNING] Invalid JSON response for 047116523F3880
2025-08-28 13:09:01 [WARNING] Invalid JSON response for 047176523F3880
2025-08-28 13:10:46 [WARNING] Invalid JSON response for 047386523F3880
2025-08-28 13:10:48 [WARNING] Invalid JSON response for 047387523F3880
2025-08-28 13:10:54 [WARNING] Invalid JSON response for 047393523F3880
2025-08-28 13:10:58 [WARNING] Invalid JSON response for 04739E523F3880
2025-08-28 13:11:10 [WARNING] Invalid JSON response for 0473B2523F3880
2025-08-28 13:12:02 [WARNING] Invalid JSON response for 047436523F3880
2025-08-28 13:12:43 [WARNING] Invalid JSON response for 0474E5523F3880
2025-08-28 13:13:06 [WARNING] Invalid JSON response for 047523523F3880
2025-08-28 13:13:23 [WARNING] Invalid JSON response for 04756B523F3880
2025-08-28 13:14:20 [WARNING] Invalid JSON response for 04762F523F3880
2025-08-28 13:14:38 [WARNING] Invalid JSON response for 047666523F3880
2025-08-28 13:14:52 [WARNING] Invalid JSON response for 047696523F3880
2025-08-28 13:14:56 [WARNING] Invalid JSON response for 0476A2523F3880
2025-08-28 13:16:55 [WARNING] Invalid JSON response for 04785A523F3880
2025-08-28 13:16:56 [WARNING] Invalid JSON response for 04784E523F3880
2025-08-28 13:18:02 [WARNING] Invalid JSON response for 047948523F3880
2025-08-28 13:19:19 [WARNING] Invalid JSON response for 047A45523F3880
2025-08-28 13:19:31 [WARNING] Invalid JSON response for 047A5D523F3880
2025-08-28 13:19:35 [WARNING] Invalid JSON response for 047A64523F3880
2025-08-28 13:20:51 [WARNING] Invalid JSON response for 047B41523F3880
2025-08-28 13:21:12 [WARNING] Invalid JSON response for 047B91523F3880
2025-08-28 13:21:32 [WARNING] Invalid JSON response for 047BC9523F3880
2025-08-28 13:22:16 [WARNING] Invalid JSON response for 047C66523F3880
2025-08-28 13:22:23 [WARNING] Invalid JSON response for 047C80523F3880
2025-08-28 13:22:28 [WARNING] Invalid JSON response for 047C81523F3880
2025-08-28 13:22:29 [WARNING] Invalid JSON response for 047C89523F3880
2025-08-28 13:23:25 [WARNING] Invalid JSON response for 047E27523F3884
2025-08-28 13:23:28 [WARNING] Invalid JSON response for 047E2C523F3880
2025-08-28 13:24:02 [WARNING] Invalid JSON response for 047E8F523F3880
2025-08-28 13:24:04 [WARNING] Invalid JSON response for 047E97523F3880
2025-08-28 13:24:26 [WARNING] Invalid JSON response for 047ED4523F3880
2025-08-28 13:24:35 [WARNING] Invalid JSON response for 047EF5523F3880
2025-08-28 13:24:48 [WARNING] Invalid JSON response for 047F1B523F3880
2025-08-28 13:25:20 [WARNING] Invalid JSON response for 047F66523F3880
2025-08-28 13:25:25 [WARNING] Invalid JSON response for 047F86523F3880
2025-08-28 13:25:31 [WARNING] Invalid JSON response for 047F91523F3880
2025-08-28 13:26:14 [WARNING] Invalid JSON response for 048022523F3880
2025-08-28 13:26:39 [WARNING] Invalid JSON response for 048094523F3880
2025-08-28 13:27:04 [WARNING] Invalid JSON response for 0480F3523F3880
2025-08-28 13:27:23 [WARNING] Invalid JSON response for 04811F523F3884
2025-08-28 13:27:45 [WARNING] Invalid JSON response for 04816F523F3880
2025-08-28 13:27:56 [WARNING] Invalid JSON response for 04819B523F3880
2025-08-28 13:29:05 [WARNING] Invalid JSON response for 04828F523F3880
2025-08-28 13:30:17 [WARNING] Invalid JSON response for 048388523F3880
2025-08-28 13:30:22 [WARNING] Invalid JSON response for 048394523F3880
2025-08-28 13:30:56 [WARNING] Invalid JSON response for 048429523F3880
2025-08-28 13:31:25 [WARNING] Invalid JSON response for 04849E523F3880
2025-08-28 13:31:56 [WARNING] Invalid JSON response for 048513523F3880
2025-08-28 13:32:33 [WARNING] Invalid JSON response for 0485C7523F3880
2025-08-28 13:32:34 [WARNING] Invalid JSON response for 0485CC523F3880
2025-08-28 13:32:47 [WARNING] Invalid JSON response for 048607523F3884
2025-08-28 13:32:53 [WARNING] Invalid JSON response for 04861D523F3880
2025-08-28 13:33:10 [WARNING] Invalid JSON response for 04865E523F3880
2025-08-28 13:33:16 [WARNING] Invalid JSON response for 04865F523F3880
2025-08-28 13:34:31 [WARNING] Invalid JSON response for 0487A1523F3880
2025-08-28 13:34:35 [WARNING] Invalid JSON response for 0487C2523F3880
2025-08-28 13:34:52 [WARNING] Invalid JSON response for 0487E9523F3880
2025-08-28 13:35:13 [WARNING] Invalid JSON response for 048842523F3880
2025-08-28 13:35:45 [WARNING] Invalid JSON response for 0488DD523F3880
2025-08-28 13:35:52 [WARNING] Invalid JSON response for 0488DE523F3880
2025-08-28 13:36:27 [WARNING] Invalid JSON response for 048967523F3880
2025-08-28 13:37:14 [WARNING] Invalid JSON response for 048A11523F3884
2025-08-28 13:37:15 [WARNING] Invalid JSON response for 048A28523F3884
2025-08-28 13:37:19 [WARNING] Invalid JSON response for 048A15523F3884
2025-08-28 13:37:28 [WARNING] Invalid JSON response for 048A29523F3884
2025-08-28 13:37:32 [WARNING] Invalid JSON response for 048A5C523F3880
2025-08-28 13:37:44 [WARNING] Invalid JSON response for 048A84523F3880
2025-08-28 13:37:50 [WARNING] Invalid JSON response for 048A98523F3880
2025-08-28 13:37:55 [WARNING] Invalid JSON response for 048A85523F3880
2025-08-28 13:37:55 [WARNING] Invalid JSON response for 048AB0523F3880
2025-08-28 13:38:01 [WARNING] Invalid JSON response for 048ABC523F3880
2025-08-28 13:38:07 [WARNING] Invalid JSON response for 048AC9523F3880
2025-08-28 13:38:28 [WARNING] Invalid JSON response for 048B1B523F3884
2025-08-28 13:38:29 [WARNING] Invalid JSON response for 048B4F523F3880
2025-08-28 13:39:06 [WARNING] Invalid JSON response for 048C61523F3880
2025-08-28 13:39:34 [WARNING] Invalid JSON response for 048D23523F3884
2025-08-28 13:39:40 [WARNING] Invalid JSON response for 048D71523F3880
2025-08-28 13:39:43 [WARNING] Invalid JSON response for 048D7E523F3880
2025-08-28 13:39:43 [WARNING] Invalid JSON response for 048D58523F3880
2025-08-28 13:40:01 [WARNING] Invalid JSON response for 048DE4523F3880
2025-08-28 13:40:01 [WARNING] Invalid JSON response for 048DF0523F3880
2025-08-28 13:40:20 [WARNING] Invalid JSON response for 048E79523F3880
2025-08-28 13:41:14 [WARNING] Invalid JSON response for 048F7E523F3880
2025-08-28 13:41:20 [WARNING] Invalid JSON response for 048FD1523F3880
2025-08-28 13:41:21 [WARNING] Invalid JSON response for 048FD9523F3880
2025-08-28 13:41:34 [WARNING] Invalid JSON response for 04900A523F3884
2025-08-28 13:41:39 [WARNING] Invalid JSON response for 049002523F3884
2025-08-28 13:41:44 [WARNING] Invalid JSON response for 04903D523F3880
2025-08-28 13:41:45 [WARNING] Invalid JSON response for 04903E523F3880
2025-08-28 13:42:19 [WARNING] Invalid JSON response for 0490F5523F3880
2025-08-28 13:42:24 [WARNING] Invalid JSON response for 04911B523F3880
2025-08-28 13:42:54 [WARNING] Invalid JSON response for 04921E523F3880
2025-08-28 13:43:08 [WARNING] Invalid JSON response for 04927A523F3880
2025-08-28 13:43:58 [WARNING] Invalid JSON response for 04934C523F3880
2025-08-28 13:44:28 [WARNING] Invalid JSON response for 0493E8523F3880
2025-08-28 13:44:37 [WARNING] Invalid JSON response for 049426523F3880
2025-08-28 13:45:24 [WARNING] Invalid JSON response for 04956A523F3880
2025-08-28 13:45:53 [WARNING] Invalid JSON response for 049658523F3880
2025-08-28 13:45:57 [WARNING] Invalid JSON response for 04966F523F3880
2025-08-28 13:46:30 [WARNING] Invalid JSON response for 049732523F3880
2025-08-28 13:46:54 [WARNING] Invalid JSON response for 0497AC523F3880
2025-08-28 13:47:08 [WARNING] Invalid JSON response for 049819523F3884
2025-08-28 13:47:22 [WARNING] Invalid JSON response for 049835523F3880
2025-08-28 13:47:49 [WARNING] Invalid JSON response for 049912523F3884
2025-08-28 13:48:22 [WARNING] Invalid JSON response for 0499A5523F3880
2025-08-28 13:49:25 [WARNING] Invalid JSON response for 049C21523F3884
2025-08-28 13:50:09 [WARNING] Invalid JSON response for 049D17523F3880
2025-08-28 13:50:11 [WARNING] Invalid JSON response for 049D16523F3880
2025-08-28 13:50:12 [WARNING] Invalid JSON response for 049D22523F3880
2025-08-28 13:50:34 [WARNING] Invalid JSON response for 049D8F523F3880
2025-08-28 13:50:41 [WARNING] Invalid JSON response for 049DB2523F3880
2025-08-28 13:51:18 [WARNING] Invalid JSON response for 049E34523F3880
2025-08-28 13:51:40 [WARNING] Invalid JSON response for 049E92523F3880
2025-08-28 13:51:47 [WARNING] Invalid JSON response for 049EBA523F3880
2025-08-28 13:51:53 [WARNING] Invalid JSON response for 049EC7523F3880
2025-08-28 13:52:02 [WARNING] Invalid JSON response for 049EE0523F3880
2025-08-28 13:52:12 [WARNING] Invalid JSON response for 04A000523F3884
2025-08-28 13:52:21 [WARNING] Invalid JSON response for 04A033523F3880
2025-08-28 13:52:27 [WARNING] Invalid JSON response for 04A041523F3880
2025-08-28 13:53:31 [WARNING] Invalid JSON response for 04A17C523F3880
2025-08-28 13:53:37 [WARNING] Invalid JSON response for 04A180523F3880
2025-08-28 13:53:51 [WARNING] Invalid JSON response for 04A1CF523F3880
2025-08-28 13:53:57 [WARNING] Invalid JSON response for 04A1DB523F3880
2025-08-28 13:54:03 [WARNING] Invalid JSON response for 04A210523F3880
2025-08-28 13:54:03 [WARNING] Invalid JSON response for 04A1E8523F3880
2025-08-28 13:54:29 [WARNING] Invalid JSON response for 04A247523F3880
2025-08-28 13:54:38 [WARNING] Invalid JSON response for 04A291523F3880
2025-08-28 13:54:44 [WARNING] Invalid JSON response for 04A29B523F3880
2025-08-28 13:55:55 [WARNING] Invalid JSON response for 04A38B523F3880
2025-08-28 13:56:56 [WARNING] Invalid JSON response for 04A49E523F3880
2025-08-28 13:57:38 [WARNING] Invalid JSON response for 04A54C523F3880
2025-08-28 13:57:44 [WARNING] Invalid JSON response for 04A558523F3880
2025-08-28 13:57:59 [WARNING] Invalid JSON response for 04A589523F3880
2025-08-28 13:58:10 [WARNING] Invalid JSON response for 04A5CD523F3880
2025-08-28 13:58:16 [WARNING] Invalid JSON response for 04A5C4523F3880
2025-08-28 13:58:36 [WARNING] Invalid JSON response for 04A627523F3880
2025-08-28 13:58:37 [WARNING] Invalid JSON response for 04A628523F3884
2025-08-28 13:58:45 [WARNING] Invalid JSON response for 04A61C523F3884
2025-08-28 13:59:15 [WARNING] Invalid JSON response for 04A699523F3880
2025-08-28 13:59:48 [WARNING] Invalid JSON response for 04A728523F3880
2025-08-28 14:00:47 [WARNING] Invalid JSON response for 04A848523F3880
2025-08-28 14:00:48 [WARNING] Invalid JSON response for 04A855523F3880
2025-08-28 14:01:30 [WARNING] Invalid JSON response for 04A915523F3884
2025-08-28 14:01:51 [WARNING] Invalid JSON response for 04A97B523F3880
2025-08-28 14:02:40 [WARNING] Invalid JSON response for 04AA29523F3880
2025-08-28 14:03:15 [WARNING] Invalid JSON response for 04AA88523F3880
2025-08-28 14:03:32 [WARNING] Invalid JSON response for 04AAE3523F3880
2025-08-28 14:04:44 [WARNING] Invalid JSON response for 04ABB8523F3880
2025-08-28 14:06:06 [WARNING] Invalid JSON response for 04ACD1523F3880
2025-08-28 14:06:11 [WARNING] Invalid JSON response for 04ACDD523F3880
2025-08-28 14:06:36 [WARNING] Invalid JSON response for 04AD31523F3880
2025-08-28 14:06:39 [WARNING] Invalid JSON response for 04AD3E523F3880
2025-08-28 14:06:42 [WARNING] Invalid JSON response for 04AD3D523F3880
2025-08-28 14:07:08 [WARNING] Invalid JSON response for 04ADC0523F3880
2025-08-28 14:07:14 [WARNING] Invalid JSON response for 04ADD8523F3880
2025-08-28 14:07:27 [WARNING] Invalid JSON response for 04ADFE523F3880
2025-08-28 14:07:43 [WARNING] Invalid JSON response for 04AE43523F3880
2025-08-28 14:08:02 [WARNING] Invalid JSON response for 04AE7F523F3880
2025-08-28 14:08:26 [WARNING] Invalid JSON response for 04AEF6523F3880
2025-08-28 14:08:34 [WARNING] Invalid JSON response for 04AF02523F3884
2025-08-28 14:09:57 [WARNING] Invalid JSON response for 04B06D523F3880
2025-08-28 14:10:54 [WARNING] Invalid JSON response for 04B177523F3880
2025-08-28 14:10:55 [WARNING] Invalid JSON response for 04B176523F3880
2025-08-28 14:11:33 [WARNING] Invalid JSON response for 04B226523F3884
2025-08-28 14:12:29 [WARNING] Invalid JSON response for 04B317523F3884
2025-08-28 14:13:06 [WARNING] Invalid JSON response for 04B3C3523F3880
2025-08-28 14:13:07 [WARNING] Invalid JSON response for 04B3C4523F3880
2025-08-28 14:13:18 [WARNING] Invalid JSON response for 04B3E8523F3880
2025-08-28 14:13:21 [WARNING] Invalid JSON response for 04B3F3523F3880
2025-08-28 14:13:56 [WARNING] Invalid JSON response for 04B50C523F3880
2025-08-28 14:14:02 [WARNING] Invalid JSON response for 04B51A523F3884
2025-08-28 14:14:06 [WARNING] Invalid JSON response for 04B51B523F3884
2025-08-28 14:14:28 [WARNING] Invalid JSON response for 04B57D523F3880
2025-08-28 14:14:40 [WARNING] Invalid JSON response for 04B5C6523F3880
2025-08-28 14:14:41 [WARNING] Invalid JSON response for 04B5A1523F3880
2025-08-28 14:14:56 [WARNING] Invalid JSON response for 04B604523F3884
2025-08-28 14:15:16 [WARNING] Invalid JSON response for 04B64A523F3880
2025-08-28 14:15:28 [WARNING] Invalid JSON response for 04B649523F3880
2025-08-28 14:15:32 [WARNING] Invalid JSON response for 04B686523F3880
2025-08-28 14:15:49 [WARNING] Invalid JSON response for 04B6C2523F3880
2025-08-28 14:15:52 [WARNING] Invalid JSON response for 04B6CD523F3880
2025-08-28 14:16:00 [WARNING] Invalid JSON response for 04B6C7523F3880
2025-08-28 14:16:20 [WARNING] Invalid JSON response for 04B74F523F3880
2025-08-28 14:16:25 [WARNING] Invalid JSON response for 04B766523F3880
2025-08-28 14:17:12 [WARNING] Invalid JSON response for 04B816523F3884
2025-08-28 14:17:16 [WARNING] Invalid JSON response for 04B830523F3880
2025-08-28 14:17:31 [WARNING] Invalid JSON response for 04B867523F3880
2025-08-28 14:17:56 [WARNING] Invalid JSON response for 04B8EA523F3880
2025-08-28 14:18:04 [WARNING] Invalid JSON response for 04B901523F3884
2025-08-28 14:18:10 [WARNING] Invalid JSON response for 04B90F523F3880
2025-08-28 14:18:11 [WARNING] Invalid JSON response for 04B929523F3884
2025-08-28 14:18:46 [WARNING] Invalid JSON response for 04B9A6523F3880
2025-08-28 14:18:56 [WARNING] Invalid JSON response for 04B9E2523F3880
2025-08-28 14:20:47 [WARNING] Invalid JSON response for 04BC1E523F3884
2025-08-28 14:22:38 [WARNING] Invalid JSON response for 04BFC6523F3880
2025-08-28 14:22:56 [WARNING] Invalid JSON response for 04C07B523F3880
2025-08-28 14:23:45 [WARNING] Invalid JSON response for 04C3C1523F3880
2025-08-28 14:24:19 [WARNING] Invalid JSON response for 04C4F5523F3880
2025-08-28 14:26:54 [WARNING] Invalid JSON response for 04CE99523F3880
2025-08-28 14:27:10 [WARNING] Invalid JSON response for 04CF2E523F3880
2025-08-28 14:27:30 [WARNING] Invalid JSON response for 04CFCC523F3880
2025-08-28 14:27:41 [WARNING] Invalid JSON response for 04D1A9523F3880
2025-08-28 14:31:54 [WARNING] Invalid JSON response for 04D979523F3880
2025-08-28 14:32:44 [WARNING] Invalid JSON response for 04DA83523F3880
2025-08-28 14:33:03 [WARNING] Invalid JSON response for 04DAD8523F3880
2025-08-28 14:35:58 [WARNING] Invalid JSON response for 04DF0B523F3884
2025-08-28 14:38:15 [WARNING] Invalid JSON response for 04E419523F3884
2025-08-28 14:42:05 [WARNING] Invalid JSON response for 04EC1D523F3884
2025-08-28 14:42:09 [WARNING] Invalid JSON response for 04EC46523F3880
2025-08-28 14:43:39 [WARNING] Invalid JSON response for 04EF1B523F3880
2025-08-28 14:44:41 [WARNING] Invalid JSON response for 04F10B523F3884
2025-08-28 14:47:58 [WARNING] Invalid JSON response for 04FCA1523F3880
2025-08-28 14:49:24 [WARNING] Invalid JSON response for 04FF07523F3884
2025-08-28 14:49:28 [WARNING] Invalid JSON response for 04FF51523F3880
2025-08-28 14:49:38 [WARNING] Invalid JSON response for 04FF55523F3880
2025-08-28 14:52:11 [WARNING] Invalid JSON response for 04108B523F3880
2025-08-28 14:52:23 [WARNING] Invalid JSON response for 0410AE523F3880
2025-08-28 14:52:58 [WARNING] Invalid JSON response for 0413B5523F3880
2025-08-28 14:54:14 [WARNING] Invalid JSON response for 041BAA4A3F3880
2025-08-28 14:54:22 [WARNING] Invalid JSON response for 041BCF4A3F3880
2025-08-28 14:55:15 [WARNING] Invalid JSON response for 041E9B4A3F3880
2025-08-28 14:56:10 [WARNING] Invalid JSON response for 0421614A3F3880
2025-08-28 14:56:11 [WARNING] Invalid JSON response for 0421624A3F3880
2025-08-28 14:56:12 [WARNING] Invalid JSON response for 0421564A3F3880
2025-08-28 14:56:16 [WARNING] Invalid JSON response for 0421794A3F3880
2025-08-28 14:56:22 [WARNING] Invalid JSON response for 04219E4A3F3880
2025-08-28 14:57:01 [WARNING] Invalid JSON response for 04239E4A3F3880
2025-08-28 14:57:14 [WARNING] Invalid JSON response for 0423DC523F3880
2025-08-28 14:57:29 [WARNING] Invalid JSON response for 04248B4A3F3880
2025-08-28 14:57:58 [WARNING] Invalid JSON response for 04257C4A3F3880
2025-08-28 14:58:14 [WARNING] Invalid JSON response for 0426504A3F3880
2025-08-28 14:58:41 [WARNING] Invalid JSON response for 0427514A3F3880
2025-08-28 15:00:09 [WARNING] Invalid JSON response for 042F494A3F3880
2025-08-28 15:00:21 [WARNING] Invalid JSON response for 042F914A3F3880
